발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
715,0.048790164169432,1.0,37.30528611111111,127.09308888888889,15.6,7.9,48.0,0.0,1.0,1.0,1.0,14.0,18.1,0.8,51.0,1007.6,10.5,7.7,20.6,0.0,0.0,경기,용인,기흥,6354712
411,0.0295588022415443,1.0,37.80314444444444,127.45272222222222,10.1,3.6,72.0,0.0,1.0,2.0,2.0,34.0,15.6,3.1,54.0,932.0,9.5,6.3,16.2,3.0,2.0,경기,가평,청평,5229485
885,0.0953101798043248,2.0,36.69365,126.825175,6.9,5.8,50.0,0.0,2.0,0.0,0.0,82.0,15.6,0.7,27.0,1021.5,4.8,-3.3,23.3,0.0,0.0,충남,예산,예산,9076598
852,0.0198026272961797,1.0,37.93565555555555,127.17616111111111,6.6,4.3,42.0,0.0,1.0,2.0,2.0,34.0,11.4,0.9,13.0,1017.5,1.7,-16.1,14.8,0.0,0.0,경기,포천,신북,4658651
715,0.0582689081239757,1.0,37.44873055555555,127.524975,13.2,25.2,69.0,1.87,1.0,2.0,2.0,34.0,18.8,3.8,36.0,1014.0,7.7,3.3,19.8,3.0,0.0,경기,양평,개군,6909313
590,0.0953101798043248,2.0,34.79123055555555,128.40999166666668,20.0,25.9,73.0,0.27,1.0,2.0,1.0,15.0,25.0,3.0,50.0,1015.8,15.8,13.8,28.6,2.0,0.0,경남,통영,산양,9076598
715,0.009950330853168,2.0,37.40710277777777,126.780575,20.5,15.5,48.0,0.0,1.0,1.0,1.0,14.0,14.3,0.6,92.0,1011.6,15.0,13.0,16.5,1.0,0.0,경기,시흥,월곶,4082193
473,0.2700271372130601,25.0,35.48883611111111,127.46655277777778,17.9,9.4,77.0,0.01,1.0,2.0,1.0,11.0,28.4,1.6,49.0,1010.2,18.9,16.6,31.0,4.0,4.0,전북,남원,산동,19299287
520,0.0953101798043248,2.0,35.47280555555556,128.75269166666666,26.0,9.4,76.0,0.0,2.0,0.0,0.0,82.0,32.4,2.5,55.0,1003.3,26.6,22.1,46.2,0.0,0.0,경남,밀양,내이,9076598
715,0.0295588022415443,3.0,36.26191111111111,126.86351666666664,26.8,10.1,78.0,0.16,2.0,0.0,0.0,83.0,34.8,1.9,42.0,1005.3,23.2,19.9,55.5,1.0,1.0,충남,부여,규암,5229485
885,0.6931471805599453,8.0,36.48953611111112,128.166125,25.6,5.0,76.0,0.0,1.0,2.0,2.0,34.0,33.7,0.9,46.0,1006.0,24.0,20.4,45.0,1.0,1.0,경북,상주,화동,52056041
233,0.048790164169432,2.0,36.72493888888889,128.82251666666667,23.5,14.0,73.0,0.0,1.0,2.0,1.0,11.0,31.4,3.4,55.0,991.8,25.2,21.2,53.7,3.0,3.0,경북,안동,녹전,6354712
276,0.0198026272961797,1.0,36.75676111111111,127.23658055555556,24.7,17.3,82.0,0.23,1.0,2.0,2.0,31.0,23.0,0.0,84.0,1000.9,23.5,20.1,23.1,4.0,4.0,충남,천안,동남,4658651
514,0.1823215567939546,3.0,35.276602777777775,128.02176666666668,25.7,7.2,70.0,0.0,2.0,0.0,0.0,82.0,33.4,1.2,43.0,1001.6,22.1,19.1,56.3,0.0,0.0,경남,진주,명석,14167634
885,0.048790164169432,4.0,36.33099444444445,128.53001666666668,27.3,9.7,74.0,0.01,1.0,2.0,1.0,11.0,34.6,1.6,45.0,1001.8,24.7,20.9,56.6,6.0,6.0,경북,의성,비안,6354712
793,0.1823215567939546,4.0,35.611533333333334,129.2604388888889,25.9,15.1,78.0,0.08,1.0,2.0,2.0,34.0,29.6,2.5,62.0,1001.7,25.6,21.5,45.8,6.0,6.0,울산,울주,범서,14167634
715,0.009950330853168,0.0,37.36004722222222,126.797275,28.6,9.0,76.0,9.77,1.0,2.0,3.0,77.0,31.6,1.4,64.0,1000.7,29.7,23.9,36.9,2.0,2.0,경기,안산,단원,4082193
